underlying,underlying_price,put_call,option_symbol,root,expiry,dte_key,days_to_expiration,strike,bid,ask,mid,last,mark,volume,open_interest,iv,delta,gamma,theta,vega,rho,intrinsic_value,extrinsic_value,in_the_money,expiration_type,exercise_type,interest_rate_chain,base_chain_iv
AAPL,276.97,CALL,AAPL  260821C00250000,AAPL,2026-08-21,269,269,250.0,45.95,46.4,46.175,47.55,46.18,64,1578,26.174,0.712,0.005,-0.039,0.805,1.015,26.97,20.58,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260821C00260000,AAPL,2026-08-21,269,269,260.0,39.2,39.55,39.375,40.02,39.38,14,1147,24.886,0.654,0.006,-0.04,0.873,0.995,16.97,23.05,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260821C00270000,AAPL,2026-08-21,269,269,270.0,32.95,33.35,33.150000000000006,33.84,33.15,56,1426,23.79,0.588,0.007,-0.04,0.923,0.942,6.97,26.87,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260821C00280000,AAPL,2026-08-21,269,269,280.0,27.4,27.65,27.525,28.15,27.53,241,2020,22.701,0.514,0.007,-0.04,0.946,0.861,-3.03,31.18,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260821C00290000,AAPL,2026-08-21,269,269,290.0,22.45,22.65,22.549999999999997,23.22,22.55,56,983,29.665,0.477,0.006,-0.052,0.945,0.773,-13.03,36.25,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260821C00300000,AAPL,2026-08-21,269,269,300.0,18.15,18.35,18.25,18.5,18.25,64,1349,28.834,0.419,0.006,-0.049,0.928,0.698,-23.03,41.53,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260821C00310000,AAPL,2026-08-21,269,269,310.0,14.5,14.75,14.625,14.85,14.63,197,10830,28.166,0.363,0.006,-0.046,0.891,0.619,-33.03,47.88,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260821C00320000,AAPL,2026-08-21,269,269,320.0,11.45,11.7,11.575,12.34,11.58,1,0,27.582,0.31,0.005,-0.043,0.838,0.538,-43.03,55.37,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00255000,AAPL,2026-09-18,297,297,255.0,43.7,44.5,44.1,44.23,44.1,0,0,25.323,0.68,0.006,-0.037,0.888,1.099,21.97,22.26,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00260000,AAPL,2026-09-18,297,297,260.0,40.85,41.15,41.0,42.0,41.0,6,3600,24.726,0.651,0.006,-0.038,0.92,1.085,16.97,25.03,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00265000,AAPL,2026-09-18,297,297,265.0,37.65,38.0,37.825,38.69,37.83,26,2370,24.225,0.62,0.006,-0.038,0.948,1.061,11.97,26.72,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00270000,AAPL,2026-09-18,297,297,270.0,34.65,35.0,34.825,35.5,34.83,10,2094,23.676,0.587,0.007,-0.038,0.97,1.03,6.97,28.53,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00275000,AAPL,2026-09-18,297,297,275.0,31.75,32.1,31.925,32.28,31.93,252,2699,23.15,0.553,0.007,-0.038,0.985,0.992,1.97,30.31,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00280000,AAPL,2026-09-18,297,297,280.0,28.9,29.35,29.125,29.59,29.13,266,3034,22.84,0.518,0.007,-0.038,0.994,0.946,-3.03,32.62,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00285000,AAPL,2026-09-18,297,297,285.0,26.3,26.75,26.525,28.7,26.53,63,2870,22.234,0.481,0.007,-0.037,0.994,0.895,-8.03,36.73,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00290000,AAPL,2026-09-18,297,297,290.0,24.05,24.3,24.175,25.25,24.18,28,4262,29.889,0.484,0.005,-0.05,0.994,0.852,-13.03,38.28,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00295000,AAPL,2026-09-18,297,297,295.0,21.8,22.05,21.925,23.15,21.93,6,1296,29.467,0.456,0.005,-0.049,0.989,0.816,-18.03,41.18,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  260918C00300000,AAPL,2026-09-18,297,297,300.0,19.75,19.95,19.85,20.08,19.85,172,13392,29.097,0.429,0.005,-0.048,0.979,0.778,-23.03,43.11,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00230000,AAPL,2026-12-18,388,388,230.0,66.15,66.95,66.55000000000001,66.65,66.55,19,5212,27.382,0.781,0.004,-0.028,0.824,1.329,46.97,19.68,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00240000,AAPL,2026-12-18,388,388,240.0,59.2,59.7,59.45,60.25,59.45,7,5811,26.401,0.74,0.004,-0.03,0.912,1.373,36.97,23.28,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00250000,AAPL,2026-12-18,388,388,250.0,52.4,52.7,52.55,53.45,52.55,32,9674,25.425,0.694,0.005,-0.031,0.992,1.382,26.97,26.48,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00260000,AAPL,2026-12-18,388,388,260.0,45.95,46.25,46.1,46.05,46.1,155,4460,24.454,0.642,0.005,-0.032,1.06,1.356,16.97,29.08,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00270000,AAPL,2026-12-18,388,388,270.0,39.95,40.25,40.1,40.44,40.1,254,5743,23.47,0.584,0.006,-0.033,1.108,1.299,6.97,33.47,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00280000,AAPL,2026-12-18,388,388,280.0,34.5,34.75,34.625,34.64,34.63,104,4625,22.518,0.522,0.006,-0.032,1.133,1.211,-3.03,37.67,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00290000,AAPL,2026-12-18,388,388,290.0,29.45,29.7,29.575,30.09,29.58,197,6582,31.096,0.502,0.004,-0.045,1.134,1.098,-13.03,43.12,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00300000,AAPL,2026-12-18,388,388,300.0,25.0,25.2,25.1,25.43,25.1,193,9123,30.299,0.456,0.005,-0.043,1.129,1.027,-23.03,48.46,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00310000,AAPL,2026-12-18,388,388,310.0,21.05,21.25,21.15,21.65,21.15,56,2757,29.606,0.41,0.005,-0.042,1.107,0.946,-33.03,54.68,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  261218C00320000,AAPL,2026-12-18,388,388,320.0,17.65,17.85,17.75,18.05,17.75,96,8244,29.05,0.366,0.005,-0.039,1.072,0.862,-43.03,61.08,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00230000,AAPL,2027-01-15,416,416,230.0,67.6,68.3,67.94999999999999,68.45,67.95,68,8974,27.054,0.777,0.004,-0.026,0.861,1.406,46.97,21.48,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00240000,AAPL,2027-01-15,416,416,240.0,60.4,60.85,60.625,62.3,60.63,18,7929,26.113,0.736,0.004,-0.028,0.951,1.45,36.97,25.33,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00250000,AAPL,2027-01-15,416,416,250.0,53.75,54.05,53.9,54.2,53.9,65,8790,25.132,0.69,0.005,-0.03,1.031,1.46,26.97,27.23,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00260000,AAPL,2027-01-15,416,416,260.0,47.35,47.65,47.5,48.15,47.5,37,14311,24.19,0.639,0.005,-0.031,1.099,1.434,16.97,31.18,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00270000,AAPL,2027-01-15,416,416,270.0,41.4,41.7,41.55,41.57,41.55,333,7313,23.22,0.582,0.006,-0.031,1.147,1.376,6.97,34.6,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00280000,AAPL,2027-01-15,416,416,280.0,35.9,36.2,36.05,36.05,36.05,337,10074,22.463,0.522,0.006,-0.03,1.172,1.285,-3.03,39.08,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00290000,AAPL,2027-01-15,416,416,290.0,30.95,31.2,31.075,31.5,31.08,46,2979,31.443,0.506,0.004,-0.043,1.173,1.167,-13.03,44.53,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00300000,AAPL,2027-01-15,416,416,300.0,26.45,26.7,26.575,26.95,26.58,256,21143,30.649,0.462,0.004,-0.042,1.169,1.097,-23.03,49.98,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00310000,AAPL,2027-01-15,416,416,310.0,22.5,22.7,22.6,23.05,22.6,87,4981,29.971,0.418,0.004,-0.04,1.15,1.018,-33.03,56.08,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270115C00320000,AAPL,2027-01-15,416,416,320.0,18.95,19.2,19.075,19.22,19.08,2440,8436,29.353,0.375,0.004,-0.039,1.118,0.934,-43.03,62.25,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00230000,AAPL,2027-06-17,569,569,230.0,73.35,74.4,73.875,73.65,73.88,0,0,26.205,0.758,0.003,-0.022,1.05,1.831,46.97,26.68,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00240000,AAPL,2027-06-17,569,569,240.0,65.9,68.3,67.1,68.0,67.1,15,1076,25.34,0.72,0.004,-0.024,1.141,1.879,36.97,31.03,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00250000,AAPL,2027-06-17,569,569,250.0,60.45,60.85,60.650000000000006,61.4,60.65,107,2197,24.489,0.677,0.004,-0.024,1.222,1.889,26.97,34.43,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00260000,AAPL,2027-06-17,569,569,260.0,54.35,54.75,54.55,55.75,54.55,4,1394,23.647,0.631,0.005,-0.025,1.29,1.863,16.97,38.78,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00270000,AAPL,2027-06-17,569,569,270.0,48.65,48.95,48.8,48.79,48.8,38,3946,22.786,0.581,0.005,-0.025,1.339,1.802,6.97,41.82,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00280000,AAPL,2027-06-17,569,569,280.0,43.3,43.6,43.45,43.68,43.45,503,4730,21.904,0.527,0.005,-0.025,1.366,1.708,-3.03,46.71,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00290000,AAPL,2027-06-17,569,569,290.0,38.15,38.7,38.425,38.5,38.42,11,919,21.032,0.471,0.005,-0.024,1.368,1.584,-13.03,51.53,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00300000,AAPL,2027-06-17,569,569,300.0,33.85,34.1,33.975,34.6,33.98,100,3949,31.865,0.49,0.004,-0.037,1.369,1.483,-23.03,57.63,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00310000,AAPL,2027-06-17,569,569,310.0,29.5,30.05,29.775,31.2,29.78,8,696,31.161,0.453,0.004,-0.036,1.361,1.41,-33.03,64.23,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  270617C00320000,AAPL,2027-06-17,569,569,320.0,25.75,26.35,26.05,26.65,26.05,46,856,30.579,0.417,0.004,-0.035,1.342,1.328,-43.03,69.68,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00255000,AAPL,2027-12-17,752,752,255.0,64.4,65.2,64.80000000000001,61.4,64.8,0,0,23.417,0.646,0.004,-0.02,1.452,2.356,21.97,39.43,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00260000,AAPL,2027-12-17,752,752,260.0,61.5,62.3,61.9,62.93,61.9,32,2801,22.937,0.625,0.004,-0.021,1.484,2.342,16.97,45.96,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00265000,AAPL,2027-12-17,752,752,265.0,58.75,59.55,59.15,59.65,59.15,3,866,22.315,0.602,0.004,-0.02,1.512,2.321,11.97,47.68,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00270000,AAPL,2027-12-17,752,752,270.0,55.95,56.8,56.375,57.3,56.38,173,2929,22.142,0.579,0.004,-0.021,1.534,2.281,6.97,50.33,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00275000,AAPL,2027-12-17,752,752,275.0,53.35,54.05,53.7,54.44,53.7,13,564,21.769,0.555,0.005,-0.021,1.552,2.236,1.97,52.47,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00280000,AAPL,2027-12-17,752,752,280.0,50.75,51.65,51.2,52.1,51.2,32,2036,21.345,0.531,0.005,-0.02,1.564,2.184,-3.03,55.13,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00285000,AAPL,2027-12-17,752,752,285.0,48.5,49.15,48.825,50.0,48.83,42,635,21.06,0.506,0.005,-0.02,1.57,2.122,-8.03,58.03,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00290000,AAPL,2027-12-17,752,752,290.0,46.1,46.75,46.425,47.77,46.43,8,2006,20.642,0.48,0.005,-0.02,1.569,2.053,-13.03,60.8,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00295000,AAPL,2027-12-17,752,752,295.0,43.6,44.45,44.025000000000006,45.23,44.03,16,0,20.231,0.454,0.005,-0.019,1.562,1.977,-18.03,63.26,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  271217C00300000,AAPL,2027-12-17,752,752,300.0,41.45,42.35,41.900000000000006,42.34,41.9,47,5658,33.09,0.514,0.003,-0.033,1.565,1.904,-23.03,65.37,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00230000,AAPL,2028-01-21,787,787,230.0,81.1,82.05,81.57499999999999,82.0,81.57,20,300,25.158,0.741,0.003,-0.018,1.272,2.378,46.97,35.03,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00240000,AAPL,2028-01-21,787,787,240.0,74.75,75.65,75.2,75.83,75.2,14,638,24.385,0.705,0.003,-0.019,1.366,2.434,36.97,38.86,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00250000,AAPL,2028-01-21,787,787,250.0,68.9,70.4,69.65,69.95,69.65,88,1596,23.528,0.666,0.004,-0.019,1.449,2.452,26.97,42.98,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00260000,AAPL,2028-01-21,787,787,260.0,63.1,63.6,63.35,64.25,63.35,58,1431,22.828,0.624,0.004,-0.02,1.518,2.426,16.97,47.28,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00270000,AAPL,2028-01-21,787,787,270.0,56.65,58.15,57.4,58.59,57.4,30,1913,21.743,0.578,0.004,-0.02,1.569,2.372,6.97,51.62,True,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00280000,AAPL,2028-01-21,787,787,280.0,52.5,53.0,52.75,53.0,52.75,134,1878,21.299,0.531,0.005,-0.02,1.598,2.268,-3.03,56.03,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00290000,AAPL,2028-01-21,787,787,290.0,47.6,48.15,47.875,48.34,47.88,121,1030,20.508,0.481,0.005,-0.019,1.604,2.137,-13.03,61.37,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00300000,AAPL,2028-01-21,787,787,300.0,43.1,43.45,43.275000000000006,43.37,43.28,311,3706,33.289,0.518,0.003,-0.032,1.598,1.978,-23.03,66.4,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00310000,AAPL,2028-01-21,787,787,310.0,38.0,39.45,38.725,39.74,38.73,5,0,32.458,0.487,0.003,-0.031,1.602,1.918,-33.03,72.77,False,S,A,3.732,29.0
AAPL,276.97,CALL,AAPL  280121C00320000,AAPL,2028-01-21,787,787,320.0,34.7,35.6,35.150000000000006,36.84,35.15,2,0,32.086,0.458,0.003,-0.031,1.596,1.846,-43.03,79.87,False,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00265000,AAPL,2025-11-28,3,3,265.0,0.08,0.09,0.08499999999999999,0.09,0.09,7966,12102,26.985,-0.032,0.011,-0.064,0.018,-0.001,-11.97,12.06,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00267500,AAPL,2025-11-28,3,3,267.5,0.12,0.14,0.13,0.12,0.13,7786,7538,24.09,-0.051,0.018,-0.089,0.026,-0.001,-9.47,9.59,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00270000,AAPL,2025-11-28,3,3,270.0,0.22,0.24,0.22999999999999998,0.23,0.23,18124,9087,21.656,-0.092,0.031,-0.137,0.041,-0.002,-6.97,7.2,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00272500,AAPL,2025-11-28,3,3,272.5,0.45,0.48,0.46499999999999997,0.47,0.47,12265,7096,19.776,-0.175,0.053,-0.215,0.064,-0.004,-4.47,4.94,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00275000,AAPL,2025-11-28,3,3,275.0,0.97,1.0,0.985,0.99,0.99,34933,7342,18.398,-0.327,0.079,-0.301,0.089,-0.007,-1.97,2.96,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00277500,AAPL,2025-11-28,3,3,277.5,1.94,1.99,1.9649999999999999,1.94,1.97,31006,2507,18.05,-0.542,0.089,-0.33,0.098,-0.012,0.53,1.41,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00280000,AAPL,2025-11-28,3,3,280.0,3.45,3.6,3.5250000000000004,3.57,3.53,12941,2287,17.316,-0.755,0.074,-0.234,0.078,-0.015,3.03,0.54,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00282500,AAPL,2025-11-28,3,3,282.5,5.4,5.8,5.6,5.55,5.6,3130,472,17.435,-0.895,0.041,-0.119,0.045,-0.015,5.53,0.02,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00285000,AAPL,2025-11-28,3,3,285.0,7.85,8.25,8.05,7.56,8.05,1532,262,18.269,-0.951,0.013,-0.042,0.024,-0.011,8.03,-0.47,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251128P00287500,AAPL,2025-11-28,3,3,287.5,10.3,10.8,10.55,9.3,10.55,49,12,20.051,-1.0,0.0,0.0,0.0,0.0,10.53,-1.23,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00265000,AAPL,2025-12-05,10,10,265.0,0.67,0.68,0.675,0.67,0.68,2133,2839,23.787,-0.123,0.019,-0.109,0.093,-0.009,-11.97,12.64,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00267500,AAPL,2025-12-05,10,10,267.5,0.93,0.97,0.95,0.95,0.95,4842,1847,22.736,-0.169,0.024,-0.13,0.115,-0.013,-9.47,10.42,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00270000,AAPL,2025-12-05,10,10,270.0,1.33,1.36,1.3450000000000002,1.37,1.35,3895,3738,21.748,-0.229,0.031,-0.151,0.139,-0.017,-6.97,8.34,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00272500,AAPL,2025-12-05,10,10,272.5,1.9,1.94,1.92,1.92,1.92,2555,810,20.933,-0.308,0.037,-0.169,0.161,-0.023,-4.47,6.39,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00275000,AAPL,2025-12-05,10,10,275.0,2.68,2.73,2.705,2.71,2.71,5092,2928,20.151,-0.404,0.042,-0.179,0.177,-0.03,-1.97,4.68,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00277500,AAPL,2025-12-05,10,10,277.5,3.65,3.8,3.7249999999999996,3.75,3.72,4553,455,20.836,-0.511,0.042,-0.19,0.182,-0.038,0.53,3.22,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00280000,AAPL,2025-12-05,10,10,280.0,5.0,5.15,5.075,5.1,5.08,3708,2628,20.015,-0.619,0.042,-0.172,0.174,-0.044,3.03,2.07,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00282500,AAPL,2025-12-05,10,10,282.5,6.55,6.8,6.675,6.7,6.68,362,102,19.408,-0.724,0.038,-0.143,0.153,-0.049,5.53,1.17,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00285000,AAPL,2025-12-05,10,10,285.0,8.35,8.7,8.524999999999999,8.15,8.52,1138,196,18.948,-0.815,0.032,-0.108,0.122,-0.051,8.03,0.12,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251205P00287500,AAPL,2025-12-05,10,10,287.5,10.45,11.5,10.975,10.4,10.98,69,64,18.737,-0.885,0.023,-0.074,0.089,-0.048,10.53,-0.13,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00265000,AAPL,2025-12-12,17,17,265.0,1.39,1.45,1.42,1.43,1.42,1152,1213,23.528,-0.182,0.019,-0.108,0.158,-0.024,-11.97,13.4,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00267500,AAPL,2025-12-12,17,17,267.5,1.81,1.87,1.84,1.84,1.84,539,199,22.778,-0.228,0.022,-0.12,0.18,-0.03,-9.47,11.31,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00270000,AAPL,2025-12-12,17,17,270.0,2.36,2.4,2.38,2.39,2.38,875,1582,22.062,-0.284,0.026,-0.131,0.202,-0.037,-6.97,9.36,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00272500,AAPL,2025-12-12,17,17,272.5,3.0,3.15,3.075,3.09,3.08,508,183,21.42,-0.349,0.029,-0.138,0.221,-0.045,-4.47,7.56,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00275000,AAPL,2025-12-12,17,17,275.0,3.85,4.0,3.925,3.91,3.93,862,903,20.729,-0.423,0.032,-0.141,0.234,-0.055,-1.97,5.88,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00277500,AAPL,2025-12-12,17,17,277.5,4.9,5.05,4.975,5.0,4.97,932,81,20.088,-0.505,0.033,-0.139,0.238,-0.064,0.53,4.47,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00280000,AAPL,2025-12-12,17,17,280.0,6.2,6.3,6.25,6.01,6.25,388,624,21.364,-0.581,0.031,-0.144,0.233,-0.073,3.03,2.98,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00282500,AAPL,2025-12-12,17,17,282.5,7.65,7.8,7.725,6.84,7.73,34,0,20.904,-0.659,0.03,-0.131,0.219,-0.081,5.53,1.31,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00285000,AAPL,2025-12-12,17,17,285.0,9.35,9.55,9.45,8.46,9.45,47,1087,20.477,-0.732,0.027,-0.114,0.197,-0.086,8.03,0.43,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251212P00287500,AAPL,2025-12-12,17,17,287.5,11.0,12.45,11.725,10.7,11.73,19,22,20.139,-0.798,0.024,-0.094,0.168,-0.089,10.53,0.17,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00265000,AAPL,2025-12-19,24,24,265.0,2.17,2.23,2.2,2.2,2.2,9859,14405,23.669,-0.221,0.018,-0.104,0.211,-0.041,-11.97,14.17,False,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00267500,AAPL,2025-12-19,24,24,267.5,2.66,2.74,2.7,2.67,2.7,337,98,22.975,-0.265,0.02,-0.111,0.232,-0.049,-9.47,12.14,False,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00270000,AAPL,2025-12-19,24,24,270.0,3.25,3.35,3.3,3.3,3.3,1419,10741,22.265,-0.314,0.023,-0.116,0.252,-0.058,-6.97,10.27,False,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00272500,AAPL,2025-12-19,24,24,272.5,4.0,4.1,4.05,3.95,4.05,694,459,21.66,-0.371,0.025,-0.12,0.268,-0.069,-4.47,8.42,False,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00275000,AAPL,2025-12-19,24,24,275.0,4.9,5.0,4.95,4.95,4.95,2021,4862,21.085,-0.434,0.026,-0.122,0.279,-0.08,-1.97,6.92,False,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00277500,AAPL,2025-12-19,24,24,277.5,5.95,6.1,6.025,5.99,6.03,832,166,20.57,-0.501,0.027,-0.12,0.283,-0.091,0.53,5.46,True,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00280000,AAPL,2025-12-19,24,24,280.0,7.15,7.3,7.225,7.18,7.23,1267,2347,22.398,-0.561,0.025,-0.129,0.28,-0.101,3.03,4.15,True,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00282500,AAPL,2025-12-19,24,24,282.5,8.55,8.7,8.625,8.05,8.63,107,46,21.905,-0.625,0.025,-0.121,0.269,-0.111,5.53,2.52,True,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00285000,AAPL,2025-12-19,24,24,285.0,10.15,10.4,10.275,10.23,10.28,357,4315,21.511,-0.686,0.023,-0.11,0.252,-0.119,8.03,2.2,True,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251219P00287500,AAPL,2025-12-19,24,24,287.5,11.95,12.2,12.075,11.28,12.08,3,0,21.127,-0.745,0.022,-0.097,0.228,-0.125,10.53,0.75,True,S,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251226P00255000,AAPL,2025-12-26,31,31,255.0,1.25,1.3,1.275,1.19,1.27,262,296,25.381,-0.122,0.01,-0.066,0.164,-0.03,-21.97,23.16,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251226P00260000,AAPL,2025-12-26,31,31,260.0,1.8,1.87,1.835,1.86,1.84,497,1268,24.009,-0.171,0.013,-0.079,0.205,-0.041,-16.97,18.83,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251226P00265000,AAPL,2025-12-26,31,31,265.0,2.61,2.88,2.745,3.1,2.75,551,546,23.069,-0.242,0.017,-0.093,0.252,-0.058,-11.97,15.07,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251226P00270000,AAPL,2025-12-26,31,31,270.0,3.75,3.9,3.825,3.85,3.83,391,1038,21.442,-0.327,0.021,-0.1,0.291,-0.078,-6.97,10.82,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251226P00275000,AAPL,2025-12-26,31,31,275.0,5.45,5.6,5.525,5.55,5.53,1071,577,20.406,-0.437,0.024,-0.103,0.318,-0.104,-1.97,7.52,False,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251226P00280000,AAPL,2025-12-26,31,31,280.0,7.7,7.9,7.800000000000001,7.8,7.8,144,114,22.082,-0.552,0.022,-0.112,0.319,-0.129,3.03,4.77,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251226P00285000,AAPL,2025-12-26,31,31,285.0,10.65,10.85,10.75,10.75,10.75,49,136,21.17,-0.665,0.021,-0.098,0.294,-0.151,8.03,2.72,True,W,A,3.732,29.0
AAPL,276.97,PUT,AAPL  251226P00290000,AAPL,2025-12-26,31,31,290.0,14.15,14.55,14.350000000000001,13.65,14.35,23,184,20.49,-0.769,0.019,-0.078,0.245,-0.163,13.03,0.62,True,W,A,3.732,29.0
